,id,tconst,release_date,revenue,budget
560,134413,tt2234315,2012-09-21,40952,0
561,134415,tt2071648,2012-09-25,0,0
562,527632,tt5516404,2018-08-10,0,0
563,265496,tt1976523,2011-03-21,0,20000
564,265497,tt3170348,2014-04-14,0,0
565,527642,tt8239736,2018-05-29,0,0
566,527653,tt3544506,2015-08-29,0,216
567,134451,tt2374811,2012-06-01,0,0
568,134461,tt2404153,2012-10-31,0,0
569,396608,tt7255620,2016-05-04,0,0
570,396613,tt1254966,2010-05-28,0,0
571,134469,tt2493210,2012-10-02,0,0
572,134472,tt1129404,2010-10-06,0,0
573,396616,tt4353996,2016-09-29,9100000,7500000
574,396622,tt5605076,2018-05-04,0,0
575,527699,tt3504226,2013-10-09,0,0
576,527701,tt4103470,2018-06-01,0,0
577,396644,tt2458910,2013-08-17,0,0
578,265601,tt1625563,2010-01-27,0,2000
579,265602,tt3239154,2014-03-29,0,0
580,527760,,2017-09-27,0,0
581,396692,tt5539186,2016-04-01,0,1
582,396695,tt5265534,2016-04-12,0,0
583,265629,tt3176304,2013-03-15,0,0
584,265634,tt3150876,2014-04-15,0,0
585,396706,tt5613322,2016-04-19,0,0
586,265647,tt1630285,2010-03-22,0,0
587,527795,tt7701808,2018-05-08,0,0
588,396724,tt2094195,2016-06-04,0,0
589,265656,tt1671504,2010-06-02,0,0
590,134597,tt1748227,2012-09-21,6842058,0
591,265672,tt2118623,2014-09-16,0,0
592,396744,tt5254612,2016-10-06,0,0
593,134602,tt2193091,2012-10-03,0,0
594,134611,tt1679340,2012-10-02,0,0
595,527831,tt6452560,2017-10-26,0,0
596,527835,tt7609034,2017-12-29,0,0
597,527838,tt6984456,2018-05-20,0,0
598,134623,tt2423422,2012-10-02,0,0
599,134628,tt2390217,2012-10-01,0,0
600,396774,tt4351548,2017-03-31,59000,0
601,134632,tt2446108,2012-10-09,0,0
602,396777,tt4677924,2017-09-22,0,0
603,265712,tt3331846,2014-08-08,83061158,35000000
604,134642,tt2449564,2012-10-09,0,0
605,134644,tt2462184,2012-10-09,0,0
606,396796,tt5607888,2016-05-02,0,0
607,134653,tt1866197,2012-10-09,0,300
608,396806,tt5397194,2018-05-03,0,20000000
609,134666,tt2062497,2013-12-04,0,0
610,396810,tt5023260,2017-03-03,1783421,0
611,134671,tt2202750,2012-09-25,0,0
612,134673,tt2150332,2012-07-02,2293798,0
613,134683,tt2234554,2011-07-01,0,0
614,134684,tt2337448,2012-07-01,0,0
615,134688,tt2229095,2012-07-14,0,0
616,134693,tt1510983,2012-08-01,0,1200000
617,265785,tt2926958,2013-09-01,0,0
